LotArea,OverallQual,YearBuilt,GrLivArea,FullBath,GarageCars,SalePrice
11571,5,1951,799,2,0,421923
11684,5,2009,638,2,1,398358
10208,3,1954,858,1,2,377483
8276,4,1993,1335,2,0,431144
5062,9,1976,2022,2,2,828365
3064,9,1981,3956,1,1,1083473
11006,2,1970,2127,1,2,491824
5568,8,1957,2482,2,2,853569
8463,8,2021,1803,2,2,774456
5027,7,1999,3030,2,2,894704
5695,8,2016,1408,1,2,689642
12687,3,1993,1634,1,0,462224
8258,6,2007,3413,1,0,848419
8618,1,1952,2686,1,0,510611
9736,7,2019,1495,2,1,630852
3391,1,1951,2982,1,2,575168
8892,9,1993,3056,1,0,930817
6561,1,1951,2820,1,1,523426
13470,1,1984,3670,2,0,669477
9184,7,1979,2651,2,0,798302
6099,2,1957,1737,1,2,459294
9278,5,1971,2284,1,1,638164
11392,8,1993,3309,2,2,1007425
6104,8,2007,3334,2,2,979713
10215,3,1985,664,2,0,306416
5454,7,2018,1498,2,2,650981
14837,3,1980,3067,2,1,680551
11996,6,1996,1807,2,2,668082
5731,6,2004,3064,2,2,824069
13965,3,2011,1156,2,2,409487
11154,7,1979,3160,1,0,878465
12762,3,2004,2711,1,1,637489
8056,8,1965,2409,1,0,813394
11110,4,1961,2546,1,0,625284
13882,1,1966,2611,1,0,483828
6840,4,1965,3662,1,0,777307
4028,7,1961,1640,2,0,652400
10385,4,1957,2389,2,1,600066
3502,6,1952,766,1,2,476597
9910,9,1965,2345,1,0,848811
12062,1,1979,2208,2,0,454982
9938,5,1972,3711,2,1,876780
7488,7,1954,2793,2,1,819466
3206,1,2014,2942,1,2,544431
8134,4,1979,2010,2,1,578971
8977,6,1970,975,1,2,529285
10721,2,2019,1476,1,0,354192
10035,5,1971,1707,2,0,562478
4484,1,2021,1543,2,2,362439
10858,6,1981,2460,1,1,753548
3863,6,1982,1057,2,2,534645
5790,4,1965,1517,2,1,490858
10408,8,1987,2105,1,0,754142
11755,4,1963,1382,2,1,479811
8116,8,1985,2694,1,2,878180
9019,8,1972,1165,1,2,633178
4757,5,2015,3875,2,0,862763
10574,4,1951,3167,1,1,761634
9374,2,2014,2271,1,1,490967
9892,3,2016,3367,2,1,707863
4678,3,2001,1363,2,0,386296
6242,4,2011,1081,2,1,440509
7636,4,1972,3570,1,2,826100
4059,5,1975,1194,1,1,463085
9668,4,2017,1751,2,0,497270
12914,8,2004,3673,1,1,1030757
14506,6,1955,2110,2,1,674633
6157,6,1984,3988,2,2,952053
8915,8,1971,1739,1,1,724168
13817,7,1992,2954,2,2,877761
13921,8,1964,898,1,2,611235
12789,2,2009,2446,1,0,501399
14252,9,1961,1214,2,2,710914
5693,1,1998,1203,1,2,327348
6627,8,1991,3308,2,0,940362
12555,4,1987,3046,1,2,726396
13173,4,1994,2214,1,0,590709
8450,5,1984,2472,1,1,686112
4663,8,1979,3521,2,0,954779
12721,5,1979,581,1,2,414834
13230,8,1955,1103,2,0,638935
8592,1,2016,2470,1,2,486631
14494,9,1956,2210,1,1,877202
13429,6,2001,2546,2,0,714688
10392,3,1963,3319,2,1,726804
4306,8,1964,1402,2,2,707697
9776,9,1970,864,2,2,639659
13867,6,1984,662,2,1,448470
8864,7,2015,3619,1,0,937729
12474,1,1951,3058,1,0,545266
10526,5,1984,3900,2,2,904802
11901,5,1969,2363,1,1,664374
8575,4,1959,615,1,1,336754
8530,6,1974,3488,1,0,884322
7413,7,2015,2884,2,0,828405
6748,9,1974,1380,1,0,691396
3663,1,2003,3284,1,1,583766
4998,6,1982,1339,1,0,548013
10994,7,1985,2694,2,0,781125
14637,3,1963,1846,1,2,524807
14935,8,2014,2990,1,0,902865
4495,5,2003,3384,2,0,782438
6304,9,2001,1536,2,1,749491
6763,5,1952,1442,1,1,547471
8232,9,1990,2224,1,2,847901
4853,4,1955,2834,2,0,668875
9585,9,1974,3267,2,2,1006590
4291,5,1962,1637,2,1,530543
6581,9,1957,3027,2,2,996345
14649,3,1970,521,2,1,307947
10554,4,2017,3920,2,2,879333
10280,9,1974,2249,2,2,896127
4636,6,2017,1182,1,0,487264
6696,2,1994,3453,2,2,700268
14191,7,2009,2333,2,0,762578
14344,2,1961,2867,1,0,597902
3698,2,1981,625,2,0,209594
13352,1,1962,776,2,0,236494
7737,3,1980,2499,1,2,629917
3854,6,1969,1727,2,1,596831
11164,8,1967,2741,1,1,888892
8855,9,2009,1195,1,1,672169
10392,7,2012,1809,1,2,688667
9528,4,1955,556,1,0,323517
14666,6,1981,3874,2,1,937643
8249,5,1992,3734,1,2,876525
8172,8,1951,518,1,0,505971
4707,1,2009,3941,2,1,695158
13969,1,1972,2811,1,0,508904
8791,6,1980,3341,1,1,850909
12925,2,1954,612,1,1,248496
8535,5,1983,3898,1,1,879703
7931,1,1959,1041,2,0,260256
6510,7,1951,3194,1,2,928741
3202,1,1960,1078,2,0,258800
14447,4,1999,1588,2,1,489174
7218,9,1980,3863,1,0,1049975
11958,1,2005,524,1,2,218639
7389,4,1958,2072,1,0,533375
5327,6,1970,2548,1,2,741200
11004,6,1977,3458,2,2,900586
5931,8,2011,2072,2,0,756334
10777,1,1956,640,2,1,205207
3197,7,1965,2267,1,2,786000
10125,1,1953,1147,2,0,285042
4930,7,1953,2735,1,2,836250
14774,3,1989,3699,1,1,755582
9287,8,1966,700,1,0,558067
11800,3,2001,3698,1,0,772448
14464,1,2001,756,1,0,217174
12339,8,1985,1046,2,1,647403
7282,3,1987,2741,2,2,637909
14589,2,1999,3250,1,0,622284
5511,1,2012,3675,2,2,656228
12986,3,2012,3836,1,2,807927
3659,2,2011,1301,1,1,347317
5811,2,1956,1441,1,0,346462
10098,6,1976,3955,2,2,1002295
9546,1,1963,3831,1,0,670089
12561,2,2020,913,1,0,295261
4986,6,1954,2514,2,1,745380
11338,3,2004,1881,2,0,480611
14411,4,1951,1598,2,0,517578
5911,1,2011,3926,1,2,723420
4734,8,1970,1409,1,1,656784
4843,7,1970,687,2,0,493833
11680,7,1959,2515,1,2,806492
5976,3,2007,1813,2,1,458577
4959,3,1988,2592,2,1,610568
8759,2,1954,2630,1,2,565027
9694,1,2014,1646,1,2,384131
5385,7,1962,857,2,2,559113
14111,7,2002,2051,2,2,765388
7736,2,1994,1589,2,2,432693
4802,7,1981,3483,2,0,899911
11155,8,1985,2180,1,0,768937
11120,1,2009,2922,2,1,549105
9616,9,1960,661,2,0,594407
8534,7,2012,3951,2,0,987550
7061,3,1970,3929,1,0,797588
14561,8,2001,3759,1,2,1042754
3262,7,2004,2869,2,1,845524
9287,8,1975,949,1,1,603290
11815,6,2017,1997,1,1,671737
12208,9,1983,1536,1,1,730614
14835,5,2001,2731,2,0,698947
5049,3,2001,2658,2,0,599981
8423,3,1978,2450,1,2,586812
14915,1,1987,3055,2,1,600694
7548,8,1991,1813,2,0,699766
6108,2,1970,2842,1,0,580429
10158,3,1991,3451,1,2,765258
13248,8,1962,1738,2,2,733755
10400,8,2013,1473,1,2,722138
6170,4,1966,1131,2,0,401148
12874,4,1958,2090,2,0,570164
5255,5,1990,1550,1,2,555067
4154,6,1950,3280,2,1,856200
7499,5,1951,3802,2,2,916737
9295,7,2009,2088,1,2,733496
9197,2,1997,2868,1,2,600664
14383,7,1978,3460,1,2,978668
12888,7,1959,3804,2,0,947300
4648,1,2007,2193,1,1,434724
8539,7,2009,936,1,2,552984
12637,5,1970,3328,1,1,840892
7199,3,1977,2056,1,1,527961
11445,3,1983,3974,2,1,813594
14375,4,1957,1576,2,2,520460
5557,2,2008,3884,1,0,701940
8592,2,2021,1804,2,2,439565
3098,1,1998,3273,1,1,572661
5200,5,1966,2578,1,1,703233
5961,4,2009,2884,2,0,661494
7973,2,1994,682,2,2,290338
7433,3,2018,3594,1,1,735376
14969,7,1981,3091,1,0,863110
5869,7,1993,1969,2,1,686183
14426,4,2014,3645,1,0,798649
14983,5,1957,3581,2,0,837586
3956,5,2021,1979,1,2,637891
11352,6,1992,2089,1,1,664585
8699,9,1950,2087,2,2,857486
9944,2,2000,1159,2,1,336141
7493,5,1973,659,2,2,446510
12492,3,1973,3585,2,1,761856
7911,4,1966,3749,2,2,835112
6987,6,1954,2959,2,0,787655
12719,8,1969,1511,2,1,683367
9015,1,1970,552,1,1,209050
4218,8,2007,2955,1,0,858163
7496,7,1980,3394,1,2,931492
7735,1,1960,1545,2,1,323690
14296,2,2001,1553,2,1,383604
13927,3,1964,3250,2,2,747152
7555,1,1956,2807,1,0,506040
12146,9,1977,1728,2,2,808073
11050,8,2000,3630,2,2,1051039
6446,2,2007,1994,1,2,466300
4045,9,1954,3323,2,1,1002567
9893,7,1954,1989,1,0,698856
4693,9,1957,1535,1,0,724717
6436,6,2013,2450,2,2,730078
11754,6,1959,3861,2,1,932495
13677,4,1987,1349,2,2,508303
8895,2,1957,853,1,1,302564
6354,7,1974,1598,1,1,655481
3225,5,2015,3420,1,1,836565
7893,6,1999,2239,2,1,703724
10022,2,2016,1964,2,0,442756
12151,5,1998,1490,2,1,544101
8600,4,1985,1764,2,1,536257
14259,9,2017,3565,1,2,1083331
10996,6,1990,2384,1,2,723509
12007,2,2011,3725,1,0,685700
10683,1,1959,2309,1,2,494346
7642,5,1970,3667,2,1,849840
14312,9,1985,2841,2,2,973579
10679,6,1961,2756,2,0,749076
11208,7,1951,3914,1,2,1047584
10339,5,1962,1611,1,2,578354
12435,6,2002,1317,2,0,550092
5205,5,1981,2299,2,0,643677
13716,9,1965,2460,1,1,893713
4069,6,1981,2937,2,2,837130
6444,8,1981,2872,1,1,891779
13757,2,1960,3487,1,2,728892
4060,9,1959,1388,1,2,754539
5327,5,1964,2355,2,1,652514
6420,7,1966,1680,2,2,655919
3301,1,1989,1167,1,2,301502
3606,5,1967,1132,2,2,513763
6170,2,2004,3124,1,0,601530
3699,6,1974,2142,1,1,679649
8088,1,2008,636,1,0,176903
12331,3,1971,2446,1,1,574317
3190,5,1979,2197,2,1,613165
13492,4,1993,927,1,2,423231
3980,3,1981,1975,1,1,495683
5975,5,2000,3159,2,0,737831
9102,8,1995,3458,1,0,978186
4184,4,1970,1318,1,0,447931
6327,1,1981,2688,2,1,500141
6394,7,1988,1606,2,0,642367
11319,8,1961,2724,2,1,895701
13257,3,1996,697,1,0,313294
4816,6,1967,3171,2,0,804319
8854,2,1970,2495,2,1,539010
9709,7,1962,3238,1,0,858458
3569,8,1970,3992,1,2,1086582
8442,6,1957,2948,1,1,827748
4895,6,1995,970,1,1,520493
5733,5,1956,2765,1,1,697357
6863,8,1972,2448,2,2,846351
10455,1,1971,1428,2,1,324391
7014,4,1971,2510,2,0,632577
14093,4,1978,3179,1,0,725461
4686,3,1962,3498,1,0,718878
6009,3,1951,1405,1,1,424881
10806,4,1978,2722,2,0,634182
3154,1,2001,522,2,1,197422
13729,2,1976,734,1,0,242241
4409,9,1999,3584,2,2,1086064
3784,2,1972,1624,1,2,431052
14367,5,1993,1428,2,2,562743
11096,9,1971,1022,2,2,700044
10560,9,1992,2308,2,1,841106
10343,8,1986,930,1,0,581836
10206,1,2010,1292,2,2,332918
8596,1,2005,2129,2,1,415732
8801,9,1952,2236,1,2,881198
5806,8,2012,1032,2,2,645861
3537,9,1968,3526,1,1,1045635
8986,7,1972,2246,1,1,754581
4841,3,1978,2175,1,0,531361
13647,3,1979,1816,1,0,464586
11716,2,1988,3357,1,2,676625
9971,5,1974,1412,2,2,531685
8625,3,1957,1624,1,0,454090
5950,6,2007,2025,1,0,661410
10992,2,1965,1827,1,1,437076
7780,3,2021,3418,1,0,722154
5368,5,1950,3087,2,0,730655
9655,1,1954,1523,1,2,378197
11173,1,1952,2076,2,0,428052
7495,9,2014,1878,1,2,829523
13893,7,1953,3874,2,0,979804
12163,1,2013,2019,1,1,425555
9002,8,1959,2181,1,0,788093
9614,3,1970,2497,2,0,569052
12358,8,1995,726,1,0,551312
8919,5,1976,1759,2,2,574650
13966,1,2015,1372,1,1,317583
13174,7,1990,1391,2,0,630745
3853,5,1962,1978,1,2,599702
7146,6,1958,1536,1,1,579437
14928,6,1985,2757,2,2,789136
6769,8,2007,3288,1,2,960659
3574,9,2003,896,1,1,644442
14453,2,1961,1623,1,0,377958
4148,9,1963,2578,1,2,902571
9293,9,1983,3445,1,2,1044359
9457,7,2002,1148,1,0,586463
10509,1,1969,828,2,0,211215
12907,7,1965,3737,2,1,974114
7777,5,2019,1982,2,1,624833
6854,6,2005,1451,1,1,574195
5491,7,2007,2505,2,0,751729
13852,5,1953,2516,1,2,734543
6124,7,1953,3671,1,2,975965
8691,9,1969,3168,1,1,1007621
6051,3,1959,2378,1,0,539725
3004,8,1973,1696,2,2,709284
8222,2,1975,2272,1,1,480131
8315,7,1986,661,2,2,548202
7869,2,2003,2251,1,2,530242
3876,4,1970,1275,2,0,435950
12183,7,1987,3834,2,0,952307
10027,3,1995,2327,2,2,587860
7142,2,1953,2821,2,1,563474
9966,7,2009,3574,2,0,916336
10079,1,2006,1551,2,2,373149
10987,8,1994,2873,1,0,857682
9799,3,1969,1439,2,0,402458
7465,2,1966,3720,1,0,704588
3635,3,2020,1039,2,2,402122
4693,5,1953,3035,1,1,772418
12874,8,1963,1321,2,1,645273
7752,7,1952,1961,2,1,713603
11311,7,2007,1588,1,0,632914
3830,7,2004,855,2,2,526400
14867,8,1953,3823,2,0,1006913
8177,1,1973,734,2,1,202428
12561,4,1983,2774,1,1,680902
11932,6,1979,2048,2,2,689388
11308,9,1968,3884,1,0,1086550
8949,2,1980,2596,2,1,548696
5838,1,2009,617,2,2,228876
4150,2,2009,2601,1,0,519742
10560,7,1968,2173,2,0,732825
4931,3,1998,3112,2,1,685015
12204,2,2012,1567,1,1,382617
4664,7,1971,2600,2,0,781954
4081,2,1973,1057,1,0,296063
3512,3,1979,3673,1,1,765272
14041,7,2007,2315,1,0,742397
10805,4,1980,2505,2,1,638998
8237,1,2013,3415,1,0,579797
3559,5,1968,897,1,1,458179
6672,9,1997,3709,2,2,1078465
10404,8,1994,1174,1,1,652369
6343,9,2004,886,2,1,657916
7070,9,2004,2658,2,2,932160
12662,7,1967,3161,2,0,853814
3580,4,2012,2564,2,2,666684
10004,5,1996,3753,1,1,869142
13486,1,2006,1383,1,0,325156
11130,1,1994,1040,1,2,270840
6147,3,1982,670,1,0,302819
7249,8,1966,2956,1,0,886865
4679,2,2019,1239,2,2,337367
6506,4,1953,1901,1,0,547102
10253,2,1969,3759,1,2,738256
5744,5,1996,3405,1,1,803678
14548,9,1964,2777,2,0,910324
12435,1,2019,618,2,1,234774
8188,5,1996,3727,1,1,857447
14310,9,1958,3331,2,0,985042
5141,1,1965,3012,1,2,553709
14251,9,2018,2651,1,0,920584
14151,8,2010,3245,2,1,943271
13457,4,1959,2495,2,1,644628
9617,5,1999,2205,1,2,670216
5479,5,1952,2222,1,0,636739
9484,6,2019,2722,2,1,755756
12827,7,2000,3292,1,1,924403
10421,8,1968,2197,2,1,814754
12949,8,1991,1944,1,2,797430
7452,2,1984,3705,2,1,709635
13262,9,1995,3962,1,1,1091725
8881,7,1975,2259,1,0,729056
9665,4,2018,2024,2,0,564988
5849,4,2013,1164,1,1,424359
14443,8,1986,532,1,1,531567
10390,4,1998,2602,2,0,640943
9905,6,1970,3066,1,2,865536
14922,5,2013,3303,1,2,820916
5489,3,1954,2559,1,2,586206
12823,2,2019,2051,2,2,490928
14008,9,1953,1219,2,2,729177
12207,9,1988,3102,2,2,985364
12540,1,1984,2920,1,2,598281
7611,3,1950,983,1,2,394896
14279,8,1973,1472,1,0,656394
5839,6,2006,3799,1,2,960783
11527,5,2019,3170,2,2,811053
8878,5,1990,806,1,2,465672
12087,6,2003,956,1,1,492177
9303,7,1995,2707,1,0,802429
14738,1,2009,830,2,0,223913
3851,9,2009,3323,1,0,968784
4687,3,2006,724,1,2,338581
13123,4,1980,3530,1,2,822083
9833,1,1973,3276,1,1,581286
14938,3,1985,1979,1,0,523720
5427,2,1979,3616,2,2,698072
12760,2,1973,3785,1,0,700619
7000,1,1979,1582,1,1,326918
8052,8,1956,1143,1,1,635018
5738,3,1984,1115,1,1,391350
14690,3,2004,694,1,0,320824
8732,6,1963,988,1,2,523919
8387,8,1959,2704,1,2,886673
11002,9,1965,3157,1,1,1013529
8536,9,2003,1749,1,2,770884
6913,4,2019,2959,1,1,693581
4066,5,1993,3776,2,0,849452
10723,2,1994,1602,2,1,397998
7380,9,2005,1647,2,0,752814
13636,8,2006,3018,2,1,940553
7107,3,1970,1741,1,2,500200
8726,9,2017,1015,2,2,665455
6373,3,1999,2125,2,1,541501
13738,9,1982,1627,1,2,775701
11945,2,1956,892,2,2,303881
5082,9,2019,1130,2,2,687562
13966,8,1964,2347,1,0,798964
14088,9,1981,3155,1,2,1006048
11967,5,1969,1479,1,0,496785
9748,2,1964,933,2,1,327091
12817,8,1997,3902,2,2,1093934
14261,6,2020,3714,1,2,948905
3417,8,1970,3087,1,2,931319
11306,5,1991,777,2,1,436385
11808,2,1975,732,1,0,270660
6974,6,1963,2052,2,0,651772
6267,5,2006,2094,1,2,666264
3825,5,1986,1613,1,1,550334
10668,1,2007,3770,2,1,657351
8745,2,1970,2909,1,1,619086
12708,8,2018,525,1,1,525357
14338,3,1952,3596,1,1,770340
3412,3,1986,1917,2,0,488002
10543,8,1998,3054,1,0,925402
10587,8,1968,3872,1,0,1008271
3728,2,1961,3910,1,2,761812
14540,8,2010,2814,1,1,920603
10164,1,1990,960,1,2,262662
14000,6,1982,3003,1,1,822612
11867,8,1999,3931,2,0,1019392
14657,3,2017,1591,2,2,465951
8988,8,2020,1506,1,0,674842
5504,1,1982,3410,2,1,595840
5967,9,1973,3983,2,1,1080171
5786,9,2010,2494,1,1,894662
4122,5,2010,990,2,0,416617
7079,4,1977,1572,2,1,486964
4571,6,2007,3111,2,0,796017
8073,7,1992,3673,2,2,993540
8104,5,1990,715,2,1,428798
5143,9,1988,2223,2,1,853419
12879,3,1998,2092,2,1,514591
9806,7,1966,3106,2,2,883300
10357,5,2019,658,1,1,405103
6440,7,2019,3036,1,0,862500
6766,2,2014,1185,2,0,312880
8644,4,1954,3813,2,1,846718
13518,2,1951,3341,1,1,677889
5914,7,1971,2276,2,2,743294
7968,2,2006,2552,2,2,587359
8917,1,2015,2343,1,2,504530
11787,9,1965,2908,1,1,937307
3728,1,2000,3006,1,2,563459
4365,8,1988,2795,2,2,872596
7492,2,1989,2089,2,0,474379
3698,8,1987,2196,1,2,815294
10186,3,2009,3493,1,0,737814
3395,6,2008,2969,2,0,763912
10400,3,1959,2446,1,2,601549
11082,7,2013,2562,2,0,805500
7171,9,2012,3283,2,1,989732
7360,2,1998,1645,1,1,398402
5502,5,2013,2824,1,2,754373
13011,6,1981,2081,2,1,682820
3717,4,1956,3000,1,0,704845
5782,4,1970,3961,1,1,858680
7946,4,1969,3865,1,2,863419
14769,2,1975,3145,1,2,673855
8486,4,2017,2993,2,0,715645
11335,1,1964,2757,2,2,543394
7980,6,1963,3261,2,1,867708
14332,1,1976,2849,2,2,559812
10266,6,1989,2432,1,0,702890
7491,1,2007,3794,1,2,718319
10192,6,1977,2257,2,1,679112
14130,8,1975,2550,2,0,831230
8588,2,2012,1489,1,1,377644
10651,2,2015,2041,2,0,450068
6636,4,1974,1616,2,2,496470
14414,3,1952,3067,1,0,646479
4167,4,2021,3999,2,0,833547
13808,7,1993,992,1,2,569211
4062,1,1991,3806,1,1,680950
5156,6,1955,1119,2,2,563426
10860,3,1988,3732,1,0,768876
8161,7,2001,2878,2,2,845319
8305,2,1972,2880,1,0,551694
14174,2,1999,2597,2,2,588227
9541,4,1992,2046,2,2,577092
14486,1,1968,1362,2,1,304003
7729,3,2018,2191,1,0,495237
12348,9,2000,2105,1,1,838468
10330,7,1960,2819,2,0,795115
8334,7,1961,1079,1,2,580488
11924,4,1957,2390,2,0,626053
7330,2,1973,1775,2,1,445040
11010,4,1990,3107,1,1,737335
9801,6,1985,3243,2,1,858382
7846,3,2021,2355,1,0,521875
9731,1,2004,3661,2,1,653799
10241,8,1958,2993,1,1,915223
3953,5,1996,3564,2,1,837406
5539,5,1964,1855,2,2,584402
10056,4,1997,1662,1,2,556217
14516,6,1991,856,2,0,483858
14493,3,2009,2124,2,0,537453
4542,9,2019,2821,1,1,903127
8293,5,1961,3590,2,2,879244
4191,3,1951,2506,1,1,574055
9313,1,1956,2858,2,1,521565
14185,6,1952,1369,1,2,594583
9938,2,1952,1385,2,2,371058
5681,3,1976,2501,2,2,611651
12409,1,1989,2701,2,0,481483
4540,9,1982,1913,1,0,777700
9172,8,1950,1783,1,1,754468
14428,2,1957,1119,1,0,335800
8541,8,1981,1382,1,2,678987
13578,9,1997,1296,2,2,717142
14911,1,1953,2672,2,0,516307
12580,5,2019,3925,1,1,932579
13048,8,1968,1796,1,1,746682
4365,2,1981,1118,1,0,303358
11691,4,1958,2334,2,1,626210
12872,7,1961,744,1,1,524895
11702,3,1960,3395,1,1,724147
10494,5,1995,2997,2,2,781249
7312,8,1965,1429,2,2,689013
4324,3,1950,1770,1,0,460709
12347,4,2012,1019,2,2,427491
13019,9,1970,3712,1,1,1085173
6141,7,1979,2909,2,2,854491
10419,1,1962,507,1,0,170010
6486,4,1983,3025,1,2,708299
4810,4,1953,3923,1,1,860326
9588,9,1977,2519,1,1,895376
5923,6,2008,994,2,0,502878
8301,9,1976,2129,2,2,859750
13406,6,2018,3380,2,2,905710
7186,6,1974,3998,2,2,969953
11905,5,1952,1562,1,1,538895
8977,5,2017,3140,1,0,745645
14794,2,1974,686,2,2,289785
14714,8,1969,3301,2,1,950936
7268,8,1983,2377,2,1,810667
7748,1,1975,2640,2,1,482958
7849,8,1954,585,2,2,558959
12435,5,2010,3615,1,2,867690
6709,2,1958,636,1,2,297483
12273,2,1999,2968,1,2,654160
9619,6,1955,2621,2,2,767862
11647,9,2009,2136,2,2,840731
12086,1,1993,3727,2,2,701351
12576,6,1960,3826,2,2,981319
13150,9,2015,2718,1,2,937386
6072,8,1996,2251,1,1,776015
9530,6,1952,2717,2,2,790084
13188,3,1979,2287,1,0,559963
3504,8,1970,1371,1,1,682497
4214,9,1977,2869,2,2,975902
4531,1,2011,3003,2,0,530557
14632,9,1982,1443,2,2,761497
10576,6,1984,2126,2,0,680209
3823,6,2001,3337,2,0,813118
3928,4,1983,3160,2,0,728263
8029,1,1990,3726,1,0,647664
3133,8,2000,3436,1,1,984437
5105,2,1996,848,2,1,289889
6627,1,2007,2176,1,0,394832
9316,2,2006,1696,2,2,443054
4852,1,1972,509,2,0,151294
7910,1,1997,3287,2,1,605090
7175,9,1971,3836,2,2,1116486
14125,1,1966,1961,1,1,395116
14476,4,2018,3818,2,1,838226
14003,6,1960,1166,1,2,589185
8348,7,1964,3093,2,0,848365
12442,2,1984,2022,2,0,436365
14704,6,1982,2676,2,0,776571
9190,7,1965,1100,1,0,577446
4256,2,1983,3152,2,2,670842
6376,2,2015,826,2,2,296865
8645,7,1989,1479,2,2,635520
6486,1,1977,2951,1,1,526237
6584,8,1996,1128,1,2,622831
12588,3,1988,2129,1,0,526499
14829,6,2019,3930,2,1,948316
11053,9,1969,3265,1,0,982507
6330,6,1950,3588,2,0,854018
5703,9,2021,773,1,2,637364
11662,7,2012,1184,1,2,637126
11120,9,2016,615,2,0,569428
10114,2,1953,1360,1,0,362413
4353,8,2007,2503,2,1,826544
13975,8,1974,1192,2,2,655631
14023,2,1996,3662,1,1,702949
8063,4,1987,1605,2,1,511856
11549,7,1964,2871,2,1,846252
14211,4,2012,3508,1,0,771388
10575,4,1970,2661,1,1,668686
3667,6,2006,2292,2,1,682829
7468,6,2002,3629,1,0,877082
12337,3,1995,653,2,2,355167
9819,9,1963,2400,2,2,884197
6719,2,1966,1927,1,1,461402
5745,6,1988,1789,1,0,612979
10483,7,1958,814,1,2,571399
3539,9,1955,1564,1,1,720480
13971,3,1972,604,2,1,296849
7964,3,2008,2424,2,0,569733
7835,7,1995,2413,1,1,780834
6775,4,1987,1716,1,2,545109
9042,8,1963,1924,2,0,718200
10102,7,2021,3849,2,2,1016640
